Tema,Tarefas
Realidade Virtual e Aumentada,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Desenha um infográfico para explicar {tema} de forma visual.
História da Computação,Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Big Bang e a Origem do Universo,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Encontra e analisa um caso real que envolva {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um estudo estatístico e analisa gráficos sobre {tema}.
Big Bang e a Origem do Universo,Escreve um poema ou música sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.
Astronomia Observacional,Elabora um workshop educativo prático sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Escreve um poema ou música sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.
História da Música Clássica,Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Elabora um workshop educativo prático sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Criatividade e Inovação,Escreve um poema ou música sobre {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Direitos Humanos,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
História da Computação,Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa e resume um artigo científico sobre {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.
Energia Nuclear,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Elabora um workshop educativo prático sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um argumento defendendo e outro contra {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Literatura Clássica,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
O Sistema Solar,"Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Teorema de Euler,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Elabora um workshop educativo prático sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Direitos Humanos,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Elabora um workshop educativo prático sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Big Bang e a Origem do Universo,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Impacto das Redes Sociais,Encontra e analisa um caso real que envolva {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Era Digital e IA,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
História da Computação,Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um workshop educativo prático sobre {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Matemática na Música,"Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Arquitetura Gótica,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Política Internacional,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}."
Economia Sustentável,"Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenha um infográfico para explicar {tema} de forma visual."
Revolução Francesa,"Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Literatura Clássica,Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Robótica e Automação,Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve um argumento defendendo e outro contra {tema}.
Cálculo Diferencial,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria um enigma ou puzzle matemático baseado em {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Robótica e Automação,"Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um código de programação simples que ilustre um conceito de {tema}."
Energia Nuclear,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Escreve um poema ou música sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Geopolítica e Conflitos Mundiais,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.
Geometria Fractal,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um argumento defendendo e outro contra {tema}.; Desenha um infográfico para explicar {tema} de forma visual.
Reações Químicas,Escreve um poema ou música sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Programação em Python,Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Teorema de Pitágoras,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
História da Medicina,Escreve um poema ou música sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.
Bioética,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
História da Computação,Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um estudo estatístico e analisa gráficos sobre {tema}.
Redes Neurais Artificiais,Elabora um workshop educativo prático sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Blockchain e Criptomoedas,Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um argumento defendendo e outro contra {tema}.
Redes Neurais Artificiais,Escreve um código de programação simples que ilustre um conceito de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
Psicologia Comportamental,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Escreve um argumento defendendo e outro contra {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.
Direitos Humanos,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Segunda Guerra Mundial,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Encontra e analisa um caso real que envolva {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
História da Medicina,Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Pesquisa e resume um artigo científico sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Ecossistemas Marinhos,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve um poema ou música sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Robótica e Automação,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Ética na Inteligência Artificial,Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
História da Computação,"Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz um estudo estatístico e analisa gráficos sobre {tema}."
Teorema de Pitágoras,"Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos."
Teoria da Relatividade,Cria um enigma ou puzzle matemático baseado em {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.
Big Bang e a Origem do Universo,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um website simples que explique {tema} para iniciantes.; Escreve um argumento defendendo e outro contra {tema}.
O Sistema Solar,Escreve um discurso político que mencione a importância de {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Energia Nuclear,Elabora um workshop educativo prático sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Bioética,"Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um website simples que explique {tema} para iniciantes.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola."
Neurociência,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um enigma ou puzzle matemático baseado em {tema}.
Grandes Descobrimentos,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um enigma ou puzzle matemático baseado em {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.
Reações Químicas,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um discurso político que mencione a importância de {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Física de Partículas,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Escreve um argumento defendendo e outro contra {tema}.
Expansão Marítima Portuguesa,Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um discurso político que mencione a importância de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.
Fotossíntese,Escreve um poema ou música sobre {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um argumento defendendo e outro contra {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
História da Música Clássica,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Cria um website simples que explique {tema} para iniciantes.; Escreve um poema ou música sobre {tema}.
Política Internacional,Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Segunda Guerra Mundial,Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve um discurso político que mencione a importância de {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Energia Nuclear,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Elabora um workshop educativo prático sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Filósofos Gregos,Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Encontra e analisa um caso real que envolva {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Pesquisa como {tema} é abordado em diferentes culturas e países.
Realidade Virtual e Aumentada,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Elabora um workshop educativo prático sobre {tema}.; Encontra e analisa um caso real que envolva {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
DNA e Genética,Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Expansão Marítima Portuguesa,Cria um website simples que explique {tema} para iniciantes.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um enigma ou puzzle matemático baseado em {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
Neurociência,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um poema ou música sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Evolução das Espécies,Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.
Era Digital e IA,Escreve um poema ou música sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um discurso político que mencione a importância de {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Bioética,"Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve um argumento defendendo e outro contra {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso."
Teoria da Relatividade,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Elabora um workshop educativo prático sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Reações Químicas,Cria uma experiência científica para demonstrar um princípio de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Encontra e analisa um caso real que envolva {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Linguística e Origem das Línguas,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenha um infográfico para explicar {tema} de forma visual."
